"id","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"Wbmqg0TkOVkzNh3HrJ9DIQ","1700 2nd Ave","vietnamese","24/02/2022 22:14:02","40.7791481018066","'-73.9504165649414","Vietnaam","838","N/A","4","10128"
"K84FS4X-Hj2Xt_uUCjwNIA","286 Columbus Ave","japanese","24/02/2022 22:10:01","40.778571","'-73.978209","Kissaki Sushi","50","N/A","4","10023"
"lKIyjdchcf67DJXaEpav8Q","1561 Second Ave","dessert","24/02/2022 22:10:46","40.77483","'-73.95419","Anita Gelato","211","N/A","4.5","10028"
"MGnPEB_q0DICnIRR0ulSzA","321 Broad Ave","korean","24/02/2022 22:03:36","40.824592","'-74.011078","Daeji Ssonday Bbq Restaurant","94","N/A","4","07657"
"KYcrVvKkzuZBlASj35Q16w","65 1st St","american","24/02/2022 22:04:43","40.910964","'-73.810452","The Rail House 10803","75","N/A","4.5","10803"
"CX6_T61ZANH5ttfMLeKKIA","22 Maiden Ln","indian","24/02/2022 16:11:58","40.7091424","'-74.00909","The Kati Roll Company","47","N/A","3","10038"
"5IR02V3Bbkcbs14yfKNDTQ","3662 Broadway","mexican","24/02/2022 22:04:31","40.8303299","'-73.94728","Taqueria San Pedro","135","N/A","3.5","10031"
"j-a8HUcsBJXHV2IfF786jw","76 Henry St","japanese","24/02/2022 16:44:26","40.698605","'-73.992668","Kogane Ramen-Brooklyn Heights","390","N/A","4","11201"
"Vw2wUAkyHuTSJy9vSwMwrQ","239 Park Ave S","mexican","24/02/2022 16:44:16","40.7379","'-73.9878","Barnacho","4","N/A","4.5","10003"
"yono7ZJcU1KiqfC-xUMaIA","934 3rd Ave","japanese","24/02/2022 16:11:38","40.65597","'-74.00641","Japan Village","258","N/A","3","11232"
"ahWC_GUPWPMyYiSKsgBPiA","426 Amsterdam Ave","seafood","24/02/2022 22:04:03","40.78424","'-73.977868","Luke's Lobster Upper West Side","712","N/A","4","10024"
"dnhEMFIYnkF0ke5oWv9hMg","124B Hester St","dessert","24/02/2022 16:39:31","40.71697","'-73.99471","BAMBU","96","N/A","4.5","10002"
"x61Sizu7lqGPMGuKEGHo-Q","43-04 47th Ave","italian","24/02/2022 22:00:59","40.7414137015591","'-73.9216857927781","Senso Unico","90","N/A","4.5","11104"
"hnCqke0kx-4_UJt1hQGO7w","502 W 167th St","dessert","24/02/2022 22:05:51","40.83942","'-73.93791","The Plug","2","N/A","5","10032"
